Year,AvgHousePrice,NumBedroom
2014,48769.64215098838,1
2015,48994.45803950525,1
2016,48067.510369422955,1
2017,47431.504855322586,1
2018,49229.73492722842,1
2019,51338.772651228566,1
2020,58441.65905241924,1
2021,63554.15773208786,1
2022,69849.4569966213,1
2023,72303.2551791121,1
2024,74311.34930034995,1
2000,39607.34692009965,1
2001,42187.57133376639,1
2002,44382.960316318,1
2003,45524.13528497576,1
2004,46937.737040111104,1
2005,48827.25068780864,1
2006,49839.69524350759,1
2007,49783.55656635894,1
2008,49284.112553464736,1
2009,49134.94140546934,1
2010,48746.927547341424,1
2011,46334.55035948178,1
2012,46166.25823042277,1
2013,44711.994500350775,1
2014,46467.194420611166,1
2015,48133.39745608045,1
2016,50682.76382989982,1
2017,53080.28013260512,1
2018,59684.182083629654,1
2019,62189.3766980854,1
2020,68410.06798029176,1
2021,80260.75672373574,1
2022,90033.81570674808,1
2023,96343.27227899674,1
2024,101044.6917650236,1
2002,77195.08374639378,1
2003,84918.45696058912,1
2004,101318.00716571449,1
2005,102823.9942641924,1
2006,114770.22318948916,1
2007,122094.70438581416,1
2008,104491.19275976624,1
2009,89522.3067351842,1
2010,87117.32553424199,1
2011,82900.25251416668,1
2012,76786.05036320434,1
2013,77841.22836775417,1
2014,81366.4408324153,1
2015,84956.52455891808,1
2016,83195.83861823093,1
2017,80618.20618271396,1
2018,80093.98171403533,1
2019,81886.61957749678,1
2020,85459.46353874012,1
2021,90451.10297010498,1
2022,94844.32305349168,1
2023,95973.01958236768,1
2024,94253.14836450956,1
2000,122242.21504080504,1
2001,141330.1593607631,1
2002,161583.6549828426,1
2003,184060.12941478868,1
2004,209826.53411593675,1
2005,234136.2915496477,1
2006,239358.32580584552,1
2007,230319.2588363689,1
2008,220015.46054305372,1
2009,208356.0114118197,1
2010,206825.31781828287,1
2011,199178.5039756327,1
2012,194417.37757969287,1
2013,203431.18004723743,1
2014,216575.82981303023,1
2015,226504.35234242375,1
2016,223087.01037290465,1
2017,236376.08483791593,1
2018,253274.2408805042,1
2019,265396.5602678106,1
